time,open,high,low,close,volume
1579291200,8879.63,8934.77,8861.66,8879.64,1950.817509
1579294800,8879.74,8934.89,8874.82,8922.34,946.973024
1579298400,8922.43,8959,8901,8939.59,1760.36577
1579302000,8938.99,8961.6,8905.49,8913.28,1837.755667
1579305600,8913.27,8987.9,8855.55,8978.96,2518.911083
1579309200,8979.23,8988.88,8900,8941.33,2102.746038
1579312800,8941.47,8947.63,8897.4,8921.21,1114.369929
1579316400,8921.17,8948.57,8899,8925.99,1074.988253
1579320000,8926.07,8926.95,8826,8843.82,2870.882522
1579323600,8842.79,8872.3,8815,8845.19,2324.577285
1579327200,8845.53,8876.48,8806.38,8864.72,1281.754597
1579330800,8863.7,8879.97,8838,8843.63,850.138168
1579334400,8843.63,8870,8818,8856.43,996.852767
1579338000,8856.43,8900.91,8850,8876.68,1561.410073
1579341600,8876.43,8919,8871.24,8887.09,1366.949165
1579345200,8887.18,8890,8857,8879.79,1216.887833
1579348800,8879.29,8922.27,8876.76,8909.18,1793.370567
1579352400,8910,8949,8892.77,8919.97,2437.336404
1579356000,8919.94,8964,8910,8922.59,2075.26826
1579359600,8922.61,8950,8869.98,8903.26,2690.286178
1579363200,8903.27,8935.17,8848.8,8883.26,2573.358549
1579366800,8882.74,8914.44,8872.15,8904.96,1190.551314
1579370400,8904.92,8909.96,8875.85,8886.79,1037.92196
1579374000,8886.79,8916.98,8875,8907.93,888.01952
1579377600,8907.79,8920,8889,8907.58,927.968541
1579381200,8907.58,8929.31,8899,8920.27,745.413027
1579384800,8920.29,8955,8918.01,8954.26,1174.038567
1579388400,8954.25,8960,8912.27,8915.96,1480.745945
1579392000,8915.09,8979.59,8888.02,8972.78,2285.07957
1579395600,8974.49,9174.78,8972.98,9146.02,8105.923197
1579399200,9146.91,9180.22,9123.63,9156.54,2794.16311
1579402800,9156.61,9198.98,9143.01,9157.61,2005.257111
1579406400,9157.74,9165,9122.77,9149,1422.380004
